#	Ben	No	Tet	Mac	Tei	Oxic
5852	1	0	1	1	0	1
6037	0	0	0	0	0	0
6041	0	0	0	0	0	0
6046	1	1	0	1	0	1
6050	1	0	0	1	0	1
6053	1	1	0	1	0	1
6068	1	1	1	1	0	1
6141	0	1	0	1	0	0
6220	1	0	1	1	0	1
6280	1	0	1	1	0	1
6369	0	0	0	0	0	0
6431	0	1	0	0	0	1
6480	0	0	1	0	0	0
6485	0	0	0	0	0	0
6524	0	0	0	0	0	1
6535	1	1	0	1	0	0
6577	1	0	1	0	0	0
6679	1	1	0	1	0	1
6699	1	0	1	1	0	1
6723	1	0	1	1	0	1
6766	0	0	0	0	0	1
6895	0	1	1	1	0	0
6930	0	0	0	1	0	1
6960	1	0	1	1	0	1
7170	0	0	0	1	0	1
7351	0	0	0	1	0	0
7563	0	0	0	0	0	0
7667	0	0	1	1	0	0
7703	0	0	0	0	0	1
7704	0	0	0	1	0	1
1258	0	0	1	1	0	0
1215	0	1	1	1	0	0
1190	1	1	0	1	0	1
1159	1	1	1	1	0	1
1131	0	0	0	0	0	1
977	0	0	1	0	0	1
947	0	0	0	0	0	0
835	1	1	0	1	0	1
825	1	1	0	1	0	1
678	0	0	0	0	0	0
562	0	0	1	1	0	1
553	0	0	1	1	0	0
526	0	0	1	1	0	0
505	0	1	0	1	0	0
503	0	0	1	1	0	0
446	0	0	0	0	0	1
399	1	1	0	1	0	1
397	1	1	0	1	0	1
393	0	1	0	1	0	1
362	1	1	0	1	0	1
300	1	1	0	1	0	1
221	0	0	0	0	0	1
216	1	1	1	1	0	1
176	1	1	1	1	0	1
154	1	1	0	1	0	1
118	0	0	1	0	0	0
55	0	0	0	0	0	0
47	1	1	0	1	0	1
852	0	0	0	0	0	0
541	0	0	0	0	0	0
422	0	1	0	1	0	1
603	0	0	0	0	0	0
270	0	1	0	1	0	1
258	0	0	1	0	0	1
118	0	1	0	1	0	0
163	0	0	0	0	0	0
159	0	1	0	1	0	1
5367	0	0	1	1	0	1
5373	1	0	1	0	0	1
5663	0	0	1	1	0	1
4548	0	0	0	0	0	0
4753	0	0	0	0	0	0
4923	0	0	0	0	0	0
812	0	1	1	1	0	1
1080	1	1	0	0	0	1
1067	0	0	0	0	0	0
1188	0	0	0	0	0	0
1132	0	0	0	0	0	0
1292	0	1	1	1	0	0
1379	1	1	0	0	0	1
1326	0	0	0	0	0	0
1337	0	0	0	0	0	0
1426	0	0	0	0	0	0
1439	0	0	0	0	0	0
1342	0	0	0	0	0	0
1537	1	1	1	1	0	1
1464	0	0	0	0	0	0
1583	0	0	0	0	0	0
1738	0	0	0	1	0	1
1654	0	0	0	0	0	1
1769	0	0	1	0	0	1
1939	0	1	0	0	0	1
1949	0	0	1	0	0	1
1958	0	1	1	1	0	1
1963	0	1	0	0	0	1
1937	0	0	0	0	0	0
2093	0	0	0	0	0	0
2388	0	0	1	1	0	0
2322	0	0	0	1	0	1
2297	0	1	1	0	0	1
2394	0	0	0	0	0	0
2468	0	0	0	0	0	0
2388	0	1	0	1	0	1
2476	0	1	0	1	0	1
2509	0	0	0	0	0	1
2537	0	0	0	0	0	0
2564	0	0	0	0	0	1
2727	0	0	0	1	0	1
2544	0	0	1	0	1	1
2686	0	1	0	0	0	1
2627	1	0	0	1	0	1
3124	0	0	0	0	0	0
3048	1	1	1	0	0	1
3199	1	1	0	0	1	1
3168	1	1	0	1	0	1
3069	0	0	0	0	0	0
3496	0	0	0	0	0	0
3525	1	0	0	0	0	1
3546	0	0	0	0	0	0
4313	0	0	0	0	0	1
4362	1	1	0	1	0	1
4532	1	0	0	1	1	1
4548	0	0	0	0	0	1
4923	0	0	0	0	0	0
4753	0	0	0	0	0	0
5663	0	0	1	1	0	1
